sample_id,qr_payload_raw,contains_url,url_raw,url_canonical,scheme,host,etld_plus_one,tld,path,query,fragment_present,port,redirect_final_url,redirect_hops,scan_time,source,label,label_confidence,label_method,notes
s0025,http://login-secure-wallet.biz/auth,true,http://login-secure-wallet.biz/auth,http://login-secure-wallet.biz/auth,http,login-secure-wallet.biz,login-secure-wallet.biz,biz,/auth,,false,,http://login-secure-wallet.biz/auth,0,2026-02-08T10:24:00Z,curated_seed,malicious,0.98,manual,wallet_phish
s0026,http://verify-payment-gateway.info/update,true,http://verify-payment-gateway.info/update,http://verify-payment-gateway.info/update,http,verify-payment-gateway.info,verify-payment-gateway.info,info,/update,,false,,http://verify-payment-gateway.info/update,0,2026-02-08T10:25:00Z,curated_seed,malicious,0.97,manual,payment_phish
s0027,http://signin-alerts-support.cn/confirm,true,http://signin-alerts-support.cn/confirm,http://signin-alerts-support.cn/confirm,http,signin-alerts-support.cn,signin-alerts-support.cn,cn,/confirm,,false,,http://signin-alerts-support.cn/confirm,0,2026-02-08T10:26:00Z,curated_seed,malicious,0.97,manual,credential_harvest
s0028,http://security-upgrade-check.site/login,true,http://security-upgrade-check.site/login,http://security-upgrade-check.site/login,http,security-upgrade-check.site,security-upgrade-check.site,site,/login,,false,,http://security-upgrade-check.site/login,0,2026-02-08T10:27:00Z,curated_seed,malicious,0.97,manual,social_engineering
s0029,http://wallet-kyc-verify.pro/validate,true,http://wallet-kyc-verify.pro/validate,http://wallet-kyc-verify.pro/validate,http,wallet-kyc-verify.pro,wallet-kyc-verify.pro,pro,/validate,,false,,http://wallet-kyc-verify.pro/validate,0,2026-02-08T10:28:00Z,curated_seed,malicious,0.98,manual,kyc_phish
s0030,http://mail-auth-reset-online.live/login,true,http://mail-auth-reset-online.live/login,http://mail-auth-reset-online.live/login,http,mail-auth-reset-online.live,mail-auth-reset-online.live,live,/login,,false,,http://mail-auth-reset-online.live/login,0,2026-02-08T10:29:00Z,curated_seed,malicious,0.98,manual,credential_harvest
s0031,https://www.coursera.org/learn/ml,true,https://www.coursera.org/learn/ml,https://www.coursera.org/learn/ml,https,www.coursera.org,coursera.org,org,/learn/ml,,false,,https://www.coursera.org/learn/ml,0,2026-02-08T10:30:00Z,curated_seed,benign,0.96,manual,seed_benign
s0032,https://www.nasa.gov,true,https://www.nasa.gov,https://www.nasa.gov,https,www.nasa.gov,nasa.gov,gov,,,false,,https://www.nasa.gov,0,2026-02-08T10:31:00Z,curated_seed,benign,0.98,manual,seed_benign
s0033,https://www.imdb.com/title/tt0111161,true,https://www.imdb.com/title/tt0111161,https://www.imdb.com/title/tt0111161,https,www.imdb.com,imdb.com,com,/title/tt0111161,,false,,https://www.imdb.com/title/tt0111161,0,2026-02-08T10:32:00Z,curated_seed,benign,0.95,manual,seed_benign
s0034,https://www.linkedin.com/feed,true,https://www.linkedin.com/feed,https://www.linkedin.com/feed,https,www.linkedin.com,linkedin.com,com,/feed,,false,,https://www.linkedin.com/feed,0,2026-02-08T10:33:00Z,curated_seed,benign,0.95,manual,seed_benign
s0035,https://www.nationalgeographic.com,true,https://www.nationalgeographic.com,https://www.nationalgeographic.com,https,www.nationalgeographic.com,nationalgeographic.com,com,,,false,,https://www.nationalgeographic.com,0,2026-02-08T10:34:00Z,curated_seed,benign,0.94,manual,seed_benign
s0036,https://www.cloudflare.com/learning,true,https://www.cloudflare.com/learning,https://www.cloudflare.com/learning,https,www.cloudflare.com,cloudflare.com,com,/learning,,false,,https://www.cloudflare.com/learning,0,2026-02-08T10:35:00Z,curated_seed,benign,0.97,manual,seed_benign
